City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Pitimbu,BR,-7.4706,-34.8086,77.59,80,60,10.22,broken clouds
187,Kokopo,PG,-4.352,152.2633,83.21,69,100,11.18,overcast clouds
188,Thompson,CA,55.7435,-97.8558,-21.84,69,0,11.5,clear sky
189,Bathsheba,BB,13.2167,-59.5167,77.61,65,20,21.85,few clouds
190,Kaitangata,NZ,-46.2817,169.8464,65.93,87,32,8.95,scattered clouds
191,Qui Nhon,VN,13.7667,109.2333,77.13,77,32,7.78,scattered clouds
192,Chokurdakh,RU,70.6333,147.9167,-24.81,95,28,8.48,scattered clouds
193,Jaru,BR,-10.4389,-62.4664,71.42,99,100,2.68,overcast clouds
194,Verkhnyachka,UA,48.8285,30.0396,30.33,92,98,9.53,overcast clouds
195,Pangnirtung,CA,66.1451,-65.7125,-24.65,85,44,4.68,scattered clouds
196,Ostrovnoy,RU,68.0531,39.5131,27.28,76,100,19.64,light snow
197,Lebu,CL,-37.6167,-73.65,57.7,94,7,6.91,clear sky
198,Mamallapuram,IN,12.6264,80.1722,82.45,69,10,7.38,clear sky
199,Minna,NG,9.6139,6.5569,75.49,19,34,11.43,scattered clouds
200,Laredo,US,27.5064,-99.5075,69.8,45,100,16.11,overcast clouds
201,Acapulco,MX,16.8634,-99.8901,78.62,78,20,2.3,few clouds
202,Muyezerskiy,RU,63.9333,31.65,-6.66,100,66,3.24,broken clouds
203,Daru,PG,-9.0763,143.2092,88.38,60,100,8.12,overcast clouds
204,Lavrentiya,RU,65.5833,-171.0,-11.27,83,2,11.25,clear sky
205,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.83,85,33,5.32,scattered clouds
206,Rapid Valley,US,44.0625,-103.1463,38.05,49,0,1.99,clear sky
207,Talnakh,RU,69.4865,88.3972,-5.8,97,100,5.99,light snow
208,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,9.22,broken clouds
209,Svirstroy,RU,60.7999,33.7248,-7.62,100,98,3.4,overcast clouds
210,Bethanien,NA,-26.502,17.1583,67.57,82,10,0.63,clear sky
211,Cayenne,GF,4.9333,-52.3333,79.09,82,0,0.0,clear sky
212,Hervey Bay,AU,-25.2986,152.8535,86.11,69,73,5.99,broken clouds
213,Kahului,US,20.8947,-156.47,78.06,75,40,5.75,scattered clouds
214,Beringovskiy,RU,63.05,179.3167,-10.41,77,1,12.97,clear sky
215,Yulara,AU,-25.2406,130.9889,105.64,12,57,13.8,broken clouds
216,Nyurba,RU,63.2842,118.3319,-22.45,95,39,3.71,scattered clouds
217,Road Town,VG,18.4167,-64.6167,75.99,67,47,20.13,scattered clouds
218,Lazarev,RU,52.225,141.5131,6.04,92,100,14.05,light snow
219,Bontang,ID,0.1333,117.5,85.1,64,100,3.38,overcast clouds
220,Leshukonskoye,RU,64.8989,45.7622,2.77,95,92,8.43,light snow
221,Kendari,ID,-3.945,122.4989,84.92,72,98,4.79,overcast clouds
222,Singaraja,ID,-8.112,115.0882,85.96,73,100,4.94,overcast clouds
223,Shu,KZ,43.5983,73.7614,34.23,79,100,3.02,overcast clouds
224,Ixtapa,MX,20.7,-105.2,70.23,88,0,4.61,clear sky
